timestamps,playback_time,rounded_playback_time,quat_x,quat_y,quat_z,deg_roll,deg_pitch,deg_yaw,rad_roll,rad_pitch,rad_yaw,deg_inclination,deg_azimuth,rad_inclination,rad_azimuth,subtitle
1620644283.888,138.45199990272522,138.5,0.31683963537216187,-0.15522143244743347,0.8643094301223755,356.8619689941406,318.7783203125,136.1302490234375,6.228416334097671,5.563731273430244,2.37592105701878,48.77832031250002,223.8697509765625,0.8513422930455548,3.9072642501608064,<Info>
1620644284.389,138.95299983024597,139.0,0.3143206834793091,-0.1571730077266693,0.8653535842895508,356.3974914550781,318.9807434082031,136.47720336914062,6.22030967173947,5.5672642229323435,2.381976552705402,48.980743408203146,223.52279663085935,0.8548752425476538,3.901208754474184,<Info>
1620644284.878,139.44199991226196,139.5,0.26126664876937866,-0.11789025366306305,0.8762762546539307,359.7089538574219,326.68817138671875,132.4005584716797,6.2781055937163694,5.701784218017772,2.310825676810082,56.688171386718764,227.5994415283203,0.9893952376330821,3.972359630369504,<Info>
1620644285.378,139.94199991226196,140.0,0.1885586678981781,-0.06762517988681793,0.8941527605056763,1.873402714729309,336.9607238769531,131.36688232421875,0.03269704558782651,5.881074081556304,2.2927846246375583,66.96072387695311,228.63311767578125,1.1686851011716142,3.990400682542028,<Info>
1620644285.88,140.44400000572205,140.5,0.1884344071149826,-0.07867515087127686,0.8899308443069458,0.8542883992195129,336.4493713378906,130.58058166503906,0.014910145327972257,5.872149296111231,2.279061089224271,66.44937133789065,229.4194183349609,1.1597603157265413,4.004124217955315,<Info>
1620644286.381,140.9449999332428,141.0,0.1762179434299469,-0.11684435606002808,0.8882972002029419,355.9861755371094,335.899169921875,131.54954528808594,6.213130854705052,5.862546469852623,2.295972694778492,65.89916992187499,228.45045471191406,1.150157489467933,3.9872126124010943,<Info>
1620644286.88,141.44400000572205,141.5,0.20495963096618652,-0.18505975604057312,0.883563756942749,348.5288391113281,329.8555908203125,136.74960327148438,6.082975780646263,5.757066115925636,2.3867308278834116,59.85559082031249,223.25039672851562,1.0446771355409465,3.8964544792961746,<Info>
1620644287.383,141.9469997882843,142.0,0.22006408870220184,-0.20179873704910278,0.8787108063697815,346.93267822265625,327.5160217285156,137.88209533691406,6.05511751774738,5.716232932195887,2.4064965431778704,57.51602172851562,222.11790466308594,1.0038439518111977,3.876688764001716,<Info>
1620644287.885,142.44899988174438,142.5,0.23182402551174164,-0.2033180594444275,0.8752933740615845,347.25311279296875,326.1297912597656,137.7858123779297,6.060710156036547,5.692038646324736,2.4048160885300307,56.12979125976565,222.2141876220703,0.9796496659400464,3.8783692186495555,<Info>
1620644288.386,142.94999980926514,143.0,0.24616838991641998,-0.17976456880569458,0.8688225150108337,351.5968933105469,325.386962890625,134.25477600097656,6.136523428052269,5.679073845506012,2.3431878777445068,55.38696289062499,225.74522399902344,0.966684865121322,3.9399974294350795,<Info>
1620644288.887,143.45099997520447,143.5,0.24897244572639465,-0.1519220769405365,0.854900062084198,356.81927490234375,326.216552734375,127.66529083251953,6.227671181624666,5.693552919720555,2.2281796655435984,56.216552734375036,232.3347091674805,0.9811639393358655,4.055005641635988,<Info>
1620644289.384,143.94799995422363,144.0,0.20177648961544037,-0.11832752078771591,0.8725837469100952,357.8488464355469,333.0241394042969,128.1741180419922,6.245640594763867,5.812367721225568,2.2370603756726313,63.024139404296896,231.8258819580078,1.0999787408408785,4.046124931506955,<Info>
1620644289.889,144.45299983024597,144.5,0.16112111508846283,-0.08409144729375839,0.8789058923721313,359.65008544921875,339.0599060058594,126.77190399169922,6.277078146167817,5.917711721304742,2.2125871236772934,69.05990600585936,233.22809600830078,1.2053227409200522,4.070598183502293,<Info>
1620644290.378,144.94199991226196,145.0,0.14675858616828918,-0.0743122547864914,0.8873738646507263,359.6689147949219,341.06634521484375,128.2740478515625,6.2774067802463325,5.95273069174263,2.2388044798705242,71.06634521484375,231.72595214843753,1.2403417113579405,4.0443808273090625,<Info>
1620644290.878,145.44199991226196,145.5,0.1596539467573166,-0.08663368970155716,0.8858814239501953,358.945556640625,339.09423828125,128.73936462402344,6.264781798782702,5.9183109325500105,2.246925789614721,69.09423828125003,231.26063537597653,1.2059219521653208,4.036259517564865,<Info>
1620644291.379,145.94299983978271,146.0,0.18664072453975677,-0.11255840957164764,0.8843971490859985,357.1513366699219,334.973388671875,130.59844970703125,6.233466752788897,5.846388538886894,2.279372945387919,64.97338867187501,229.40155029296872,1.1339995585022047,4.003812361791667,<Info>
1620644291.881,146.4449999332428,146.5,0.20807000994682312,-0.14080503582954407,0.8757766485214233,355.0874328613281,331.28057861328125,130.85031127929688,6.197444835884485,5.781936844713669,2.283768759083204,61.28057861328127,229.14968872070312,1.069547864328979,3.999416548096382,<Info>
1620644292.382,146.94599986076355,147.0,0.26134321093559265,-0.18839500844478607,0.8599571585655212,351.59185791015625,323.2279968261719,133.3669891357422,6.136435543736296,5.641392779242481,2.3276930738902077,53.22799682617189,226.6330108642578,0.9290037988577913,3.9554922332893785,<Info>
1620644292.884,147.44799995422363,147.5,0.3040410280227661,-0.22208622097969055,0.8418026566505432,349.04327392578125,316.86767578125,134.98648071289062,6.091954361945357,5.530384235524708,2.3559585341197637,46.86767578125001,225.01351928710938,0.8179952551400183,3.9272267730598225,<Info>
1620644293.377,147.9409999847412,148.0,0.34160831570625305,-0.21934938430786133,0.8171087503433228,353.29364013671875,312.4539794921875,129.74359130859375,6.166137246741732,5.453350703097512,2.264452851696859,42.45397949218752,230.25640869140625,0.7409617227128225,4.018732455482727,<Info>
1620644293.883,148.4469997882843,148.5,0.35087287425994873,-0.21627230942249298,0.8122746348381042,354.6583251953125,311.5373840332031,128.53672790527344,6.189955494266965,5.437353094429406,2.2433891116870956,41.53738403320316,231.46327209472656,0.7249641140447167,4.039796195492491,<Info>
1620644294.384,148.94799995422363,149.0,0.3565479815006256,-0.20947249233722687,0.8088545799255371,356.45440673828125,311.2427978515625,126.94576263427734,6.2213030308260695,5.432211595628899,2.2156215294233297,41.24279785156249,233.05423736572266,0.7198226152442091,4.0675637777562565,<Info>
1620644294.886,149.44999980926514,149.5,0.35320156812667847,-0.19900166988372803,0.8062204718589783,358.591552734375,312.1827087402344,124.38063049316406,6.258603265053719,5.448616135311569,2.170851527812171,42.1827087402344,235.6193695068359,0.7362271549268797,4.112333779367415,<Info>
